I consider myself:,Country,Response ID,Time Started,Date Submitted,Status,Language,Link Name,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Features:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Safety:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Security:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Privacy:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Reliability:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,User Reviews:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Expert Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Friend or Family Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Convenience:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I don‰Ûªt know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
Luddite:  Technology scares me! I only use it when I have to.,Switzerland,103,103,103,103,103,103,77,71,47,19,4,0,4,0,5,1,3,100,99,100,97,99,65,61,61,61,64,59,55,55,61,62,3,51,4,5,5,7,3,16,5,47,78
Luddite:  Technology scares me! I only use it when I have to.,Syrian Arab Republic,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Taiwan,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2
Luddite:  Technology scares me! I only use it when I have to.,Thailand,7,7,7,7,7,7,4,6,5,0,1,0,0,0,1,0,0,5,5,6,5,5,2,3,3,3,3,3,3,3,2,2,1,2,2,1,1,1,1,2,2,3,5
Luddite:  Technology scares me! I only use it when I have to.,Togo,8,8,8,8,8,8,3,5,4,0,0,0,0,0,1,0,0,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,3,5
Luddite:  Technology scares me! I only use it when I have to.,Tonga,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Tunisia,14,14,14,14,14,14,9,9,6,3,1,1,1,2,1,1,1,11,10,10,10,10,6,6,6,6,6,6,6,6,6,6,0,4,0,0,0,1,0,0,0,4,6
Luddite:  Technology scares me! I only use it when I have to.,Turkey,5,5,5,5,5,5,4,4,4,2,1,1,1,1,1,1,1,5,5,5,5,5,4,5,4,3,3,4,4,5,3,5,1,2,1,1,1,1,1,2,1,3,4
Luddite:  Technology scares me! I only use it when I have to.,Uganda,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,0,0,0,0,0,1,0,1,2
Luddite:  Technology scares me! I only use it when I have to.,Ukraine,3,3,3,3,3,3,1,3,2,2,0,0,0,1,0,0,0,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
Luddite:  Technology scares me! I only use it when I have to.,United Arab Emirates,3,3,3,3,3,3,1,1,3,0,0,0,0,0,0,0,0,3,3,2,3,3,2,3,2,1,1,2,1,1,1,2,0,2,0,0,0,0,0,0,0,2,3
Luddite:  Technology scares me! I only use it when I have to.,United Kingdom,138,138,138,138,138,138,109,99,59,30,2,4,5,1,5,0,1,136,136,136,135,136,88,82,82,86,82,86,77,75,82,81,6,51,7,3,7,5,3,15,4,86,125
Luddite:  Technology scares me! I only use it when I have to.,United States,531,531,531,531,531,531,343,324,278,120,29,17,44,24,32,9,19,512,514,505,497,498,327,281,305,330,325,322,279,285,280,306,25,161,33,20,58,28,24,70,36,316,455
Luddite:  Technology scares me! I only use it when I have to.,Uruguay,26,26,26,26,26,26,17,15,15,5,0,1,0,0,2,0,0,26,24,24,24,24,16,13,11,12,14,12,12,13,13,13,1,9,1,0,1,2,2,5,2,12,20
Luddite:  Technology scares me! I only use it when I have to.,Venezuela,106,106,106,106,106,106,82,48,29,9,4,7,6,3,3,2,4,99,99,96,96,95,53,42,38,29,48,29,28,44,31,44,2,47,0,1,1,3,2,9,2,44,89
Luddite:  Technology scares me! I only use it when I have to.,Vietnam,5,5,5,5,5,5,3,4,3,1,1,0,0,0,0,0,0,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1,3,1,0,0,1,1,1,1,2,5
Luddite:  Technology scares me! I only use it when I have to.,Zambia,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Afghanistan,5,5,5,5,5,5,4,4,3,2,0,0,0,0,0,0,0,5,5,5,5,5,4,5,3,3,3,4,4,3,3,4,0,4,0,1,1,1,0,3,3,0,5
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Albania,32,32,32,32,32,32,22,25,26,15,1,1,2,2,2,1,3,30,30,30,29,30,24,23,21,23,23,22,22,22,20,21,6,23,8,5,5,8,7,19,10,2,28
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Algeria,240,240,240,240,240,240,214,215,207,122,17,16,19,6,33,11,18,227,222,223,221,223,181,180,164,169,172,173,163,165,160,175,42,192,76,47,44,86,48,180,105,19,205
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",American Samoa,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Andorra,3,3,3,3,3,3,3,3,3,2,2,0,1,1,0,1,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,1,1,3,0,3,3,0,3
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Angola,8,8,8,8,8,8,5,6,8,2,2,2,1,0,1,0,0,8,8,7,6,7,5,5,5,6,5,4,4,4,4,5,1,5,1,1,1,2,1,4,3,2,7
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Anguilla,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Anonymous Proxy,21,21,21,21,21,21,18,19,18,11,1,3,3,3,2,0,2,21,21,21,21,21,19,21,20,20,21,19,20,21,18,19,12,18,14,9,13,17,12,19,19,0,14
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Antigua and Barbuda,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Argentina,1239,1239,1239,1239,1239,1239,1174,1027,1149,695,82,61,43,22,85,26,48,1220,1221,1215,1203,1202,1062,1047,877,828,895,849,908,909,828,930,377,1093,364,220,219,611,307,889,649,71,1137
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Armenia,4,4,4,4,4,4,4,4,4,2,1,0,1,1,0,0,0,3,3,3,3,3,3,4,4,4,3,4,4,4,4,2,2,3,2,2,3,2,2,3,3,0,3
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Asia/Pacific Region,7,7,7,7,7,7,7,7,6,4,1,0,0,0,1,1,0,7,7,7,7,7,6,6,6,6,6,6,6,7,7,6,4,4,1,1,4,3,0,6,4,0,7
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Australia,889,889,889,889,889,889,832,813,823,436,219,23,88,9,55,20,43,880,883,878,872,867,782,780,750,769,769,781,761,758,740,751,387,813,376,242,449,483,270,740,440,31,829
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Austria,960,960,960,960,960,960,923,869,910,485,138,54,78,30,75,22,92,949,944,945,942,932,837,836,760,809,801,835,778,780,771,793,386,843,495,297,437,556,276,747,627,22,777
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Azerbaijan,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bahamas,5,5,5,5,5,5,5,5,4,3,0,0,0,0,0,0,0,5,5,5,5,5,4,4,3,4,3,4,4,3,3,4,2,5,1,0,3,2,1,5,2,0,4
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bahrain,11,11,11,11,11,11,11,11,11,4,2,2,0,0,1,0,1,11,11,11,10,9,9,9,8,8,8,9,8,8,8,8,4,9,3,2,3,4,3,8,6,0,8
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bangladesh,161,161,161,161,161,161,136,131,139,46,22,8,6,5,26,8,11,151,152,149,146,146,126,120,112,114,113,117,107,106,101,102,58,130,51,31,40,51,31,114,82,13,145
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Barbados,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,3,0,2,3,2,5,1,1,6
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Belarus,17,17,17,17,17,17,17,15,16,7,3,0,1,0,1,0,2,17,17,17,17,17,17,17,16,16,15,15,16,15,13,13,12,11,15,9,9,17,9,17,15,0,13
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Belgium,988,988,988,988,988,988,903,906,909,430,142,47,106,55,88,25,101,972,968,967,956,952,853,842,802,825,817,842,800,800,778,831,262,878,363,208,314,515,218,750,553,34,860
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Belize,3,3,3,3,3,3,3,3,3,2,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,1,2,0,0,3
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Benin,27,27,27,27,27,27,19,25,23,11,2,2,1,1,3,0,3,26,26,25,25,25,21,22,21,21,19,21,17,15,17,21,4,25,11,5,3,9,7,23,10,1,24
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bhutan,2,2,2,2,2,2,2,1,1,1,0,0,1,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,1,0,1,1,0,2
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bolivia,144,144,144,144,144,144,130,125,133,73,19,5,11,4,13,10,14,140,140,141,138,141,124,120,101,83,102,87,96,99,80,101,36,118,38,28,27,49,38,97,74,12,130
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bosnia and Herzegovina,28,28,28,28,28,28,27,24,28,14,1,1,0,0,1,0,3,27,27,27,27,27,24,23,22,21,21,23,23,22,22,21,8,25,8,5,8,13,3,20,14,1,24
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Botswana,6,6,6,6,6,6,4,6,5,1,1,0,1,0,0,0,0,5,5,6,6,6,3,3,2,3,3,2,3,2,2,3,2,6,3,1,2,2,2,4,2,0,6
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Brazil,5444,5444,5444,5444,5444,5444,5226,4609,5191,3007,456,211,367,75,693,137,426,5336,5351,5308,5254,5266,4681,4640,4207,4412,4245,4445,4067,4089,3891,4059,1614,4662,1518,966,1141,2199,802,3823,2475,273,5101
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Brunei Darussalam,5,5,5,5,5,5,5,5,5,3,3,0,1,0,1,1,1,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,3,5,4,2,4,5,1,5,2,0,5
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Bulgaria,73,73,73,73,73,73,70,64,66,30,8,1,9,1,4,2,4,72,73,72,72,71,63,60,55,59,57,61,60,56,55,59,29,65,34,21,22,42,22,64,42,0,63
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Burkina Faso,8,8,8,8,8,8,3,6,6,4,1,1,0,0,0,0,0,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,6,1,0,1,3,0,6,3,0,6
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Burundi,5,5,5,5,5,5,3,5,5,0,0,0,0,0,0,0,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,5,1,1,0,2,0,4,1,0,5
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cambodia,15,15,15,15,15,15,9,12,11,4,1,0,1,1,1,1,0,13,14,13,12,11,9,9,9,9,9,9,9,10,9,9,3,7,2,3,2,3,2,6,3,5,11
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cameroon,77,77,77,77,77,77,56,72,65,12,5,5,3,2,3,3,5,73,71,71,73,73,57,58,53,56,56,56,50,49,50,56,17,67,15,11,19,20,13,62,33,3,68
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Canada,1628,1628,1628,1628,1628,1628,1525,1462,1401,747,312,70,180,117,86,52,127,1615,1609,1609,1602,1592,1416,1404,1346,1385,1370,1400,1332,1328,1288,1343,564,1401,589,370,746,756,407,1259,804,88,1489
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cape Verde,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cayman Islands,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Chad,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Chile,601,601,601,601,601,601,571,541,566,351,43,27,26,17,50,15,37,589,592,589,585,578,546,537,459,437,482,444,481,483,427,478,187,524,184,116,126,309,160,472,350,27,543
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",China,44,44,44,44,44,44,44,43,43,22,9,3,1,1,4,1,5,44,44,44,43,43,40,37,36,39,35,37,35,36,35,40,21,36,13,12,21,23,12,40,23,0,42
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Colombia,906,906,906,906,906,906,811,809,858,526,90,64,49,15,70,30,54,885,889,880,875,877,801,792,699,622,698,664,679,705,624,696,302,781,232,218,180,365,248,688,445,48,820
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Congo,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,1,5,0,0,0,2,0,5,2,0,4
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.","Congo, The Democratic Republic of the",15,15,15,15,15,15,12,14,14,6,2,2,0,0,0,0,2,14,14,13,14,14,10,10,10,9,8,10,8,8,9,10,5,13,3,3,3,1,3,10,3,0,13
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Costa Rica,173,173,173,173,173,173,167,165,161,78,20,16,11,1,10,3,8,169,170,170,169,168,159,152,136,128,135,139,141,135,125,141,54,153,51,40,35,80,47,143,92,6,157
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cote D'Ivoire,90,90,90,90,90,90,68,84,76,27,6,6,6,3,6,3,3,87,85,82,86,84,64,63,62,64,60,64,58,57,57,64,15,76,16,9,16,23,10,68,34,3,80
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Croatia,85,85,85,85,85,85,83,75,82,45,14,4,7,2,7,1,5,84,85,84,83,84,78,79,77,77,78,76,77,75,73,73,43,76,43,30,41,54,31,73,57,4,81
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cuba,42,42,42,42,42,42,14,32,24,0,0,2,0,0,0,0,0,41,41,41,41,41,32,31,27,19,24,23,24,27,21,25,13,37,14,5,3,11,16,27,16,0,40
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Curacao,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,2,0,2,2,0,3
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Cyprus,12,12,12,12,12,12,12,12,12,6,4,0,0,0,0,0,1,12,12,12,12,12,12,12,11,11,11,10,12,12,10,11,6,10,7,2,7,9,5,12,7,0,10
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Czech Republic,77,77,77,77,77,77,73,71,73,31,8,0,4,0,2,1,4,77,76,77,77,77,69,70,63,65,63,68,65,66,62,63,47,71,36,21,37,57,28,70,53,2,73
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Denmark,108,108,108,108,108,108,101,101,103,48,27,4,6,2,5,0,8,105,106,106,106,106,95,94,90,91,93,94,91,90,88,87,51,92,55,32,49,69,37,94,74,1,99
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Dominican Republic,117,117,117,117,117,117,111,97,102,55,16,11,4,6,9,4,12,114,115,115,114,114,99,97,85,72,91,82,86,84,71,87,37,100,26,24,22,56,23,85,55,7,103
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Ecuador,373,373,373,373,373,373,341,306,316,219,26,28,32,6,33,18,29,358,360,353,348,351,293,283,244,220,247,240,235,253,216,237,100,305,82,79,59,127,85,229,148,33,329
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Egypt,61,61,61,61,61,61,59,55,60,21,0,0,0,0,2,0,0,59,58,59,58,57,52,52,49,51,51,50,48,49,45,47,26,49,16,10,11,23,14,46,32,5,52
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",El Salvador,146,146,146,146,146,146,129,126,138,78,10,10,6,7,13,6,10,142,142,141,141,141,129,124,111,94,110,104,105,110,94,113,35,122,33,19,21,61,45,106,66,8,131
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Equatorial Guinea,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Estonia,32,32,32,32,32,32,31,26,31,13,10,1,1,0,1,3,2,32,32,32,32,30,29,30,26,28,27,30,26,27,26,29,18,27,21,12,14,24,18,27,18,0,27
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Ethiopia,7,7,7,7,7,7,4,6,6,0,1,0,0,0,1,0,1,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,6,2,2,2,1,2,5,2,0,6
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Europe,81,81,81,81,81,81,77,74,78,50,21,5,5,6,3,0,11,81,81,81,81,79,71,70,60,62,62,68,62,61,57,64,44,76,49,23,56,48,24,72,45,0,72
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Fiji,6,6,6,6,6,6,6,6,6,2,1,1,1,1,2,1,1,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,2,6,2,2,3,2,2,5,2,1,5
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Finland,106,106,106,106,106,106,99,84,105,47,23,3,8,2,7,3,7,106,106,105,105,104,100,102,98,101,99,101,101,95,92,96,62,95,56,35,66,68,46,96,94,0,99
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",France,12537,12537,12537,12537,12537,12537,9190,11525,11625,3928,1639,525,900,485,1008,245,922,12392,12328,12343,12269,12233,11059,10858,10285,10528,10635,10809,10331,10229,10007,10882,2940,11688,4743,3094,4779,6408,3049,9688,7347,280,11091
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",French Guiana,20,20,20,20,20,20,12,19,13,6,2,0,2,0,0,1,0,20,20,20,19,19,16,16,15,15,15,17,15,13,13,18,1,18,7,2,3,9,2,15,8,1,16
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",French Polynesia,33,33,33,33,33,33,32,32,31,13,7,1,1,1,1,0,1,33,33,32,33,33,32,31,28,30,31,30,28,29,28,32,8,31,13,9,8,8,7,24,12,1,22
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Gabon,19,19,19,19,19,19,16,16,17,2,2,2,0,0,4,0,2,17,19,17,18,17,14,13,14,12,13,13,12,13,10,13,3,17,3,1,3,3,2,16,6,0,16
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Gambia,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,1,2,2,0,2
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Georgia,6,6,6,6,6,6,4,6,6,1,0,1,0,0,0,0,0,6,6,6,6,6,5,6,6,6,6,5,6,6,5,5,5,6,5,2,3,5,6,6,5,0,6
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Germany,9804,9804,9804,9804,9804,9804,9479,8607,9236,5126,1523,678,1006,435,601,184,935,9661,9646,9636,9574,9526,8605,8576,7812,8269,8231,8501,7925,7884,7712,8107,3698,8647,6051,2389,4792,5651,3026,8002,6587,205,8231
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Ghana,43,43,43,43,43,43,30,40,39,14,2,4,3,1,11,2,2,40,42,42,42,41,37,36,35,36,35,35,34,33,34,36,13,37,14,12,9,12,5,36,12,3,41
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Gibraltar,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Greece,196,196,196,196,196,196,191,176,182,71,19,4,10,2,7,0,13,194,193,194,194,192,177,175,158,164,161,169,165,159,150,159,103,186,81,53,79,114,68,170,116,4,171
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I‰Ûªm the one they call.",Grenada,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
